indicatorcode,indicatorname,topic,type,uniquevisitors,pageviews,maybedisagg,derived,disaggregation,primary,estimatetypemodeledornot,i,sum_obs,mean_obs_pc,max_obs_pc,year_max,year_min,avg_year_max,avg_year_min,avg_year_avg,cy_cov,cy_cov1960,cy_cov1970,cy_cov1980,cy_cov1990,cy_cov2000,cy_cov2010
ag.lnd.el5m.ru.k2,Rural land area where elevation is below 5 meters (sq. km),Environment: Land use,Primary,812,1123,0,0,0,1,,AG.LND.EL5M.RU.K2,537,2.474654378,3,2010,1990,2010,1990,2000,0.041244239,0,0,0,0.082488477,0.082488477,0.082488477
ag.lnd.el5m.ru.zs,Rural land area where elevation is below 5 meters (% of total land area),Environment: Land use,Derived,808,1072,0,1,0,0,,AG.LND.EL5M.RU.ZS,537,2.474654378,3,2010,1990,2010,1990,2000,0.041244239,0,0,0,0.082488477,0.082488477,0.082488477
ag.lnd.el5m.ur.k2,Urban land area where elevation is below 5 meters (sq. km),Environment: Land use,Primary,749,1052,0,0,0,1,,AG.LND.EL5M.UR.K2,537,2.474654378,3,2010,1990,2010,1990,2000,0.041244239,0,0,0,0.082488477,0.082488477,0.082488477
ag.lnd.el5m.ur.zs,Urban land area where elevation is below 5 meters (% of total land area),Environment: Land use,Derived,913,1227,0,1,0,0,,AG.LND.EL5M.UR.ZS,537,2.474654378,3,2010,1990,2010,1990,2000,0.041244239,0,0,0,0.082488477,0.082488477,0.082488477
ag.lnd.el5m.zs,Land area where elevation is below 5 meters (% of total land area),Environment: Land use,Derived,683,968,0,1,0,0,,AG.LND.EL5M.ZS,537,2.474654378,3,2010,1990,2010,1990,2000,0.041244239,0,0,0,0.082488477,0.082488477,0.082488477
ag.lnd.frst.k2,Forest area (sq. km),Environment: Land use,Derived,7185,14952,0,1,0,0,,AG.LND.FRST.K2,5651,26.04147465,27,2016,1990,2015.9952,1990.2133,2003.1042,0.43402457,0,0,0,0.96175116,0.96313363,0.67926264
ag.lnd.frst.zs,Forest area (% of land area),Environment: Land use,Derived,28184,56260,0,1,0,0,,AG.LND.FRST.ZS,5615,25.87557604,27,2016,1990,2015.9952,1990.1292,2003.0623,0.4312596,0,0,0,0.95069122,0.96313363,0.6737327
ag.lnd.irig.ag.zs,Agricultural irrigated land (% of total agricultural land),Environment: Land use,Derived,5822,9554,0,1,0,0,,AG.LND.IRIG.AG.ZS,856,3.944700461,16,2016,2001,2011.875,2003.85,2007.812,0.065745011,0,0,0,0,0.23732719,0.15714286
ag.lnd.prcp.mm,Average precipitation in depth (mm per year),Environment: Land use,Primary,7745,13721,0,0,0,1,,AG.LND.PRCP.MM,2068,9.529953917,12,2014,1962,2013.8848,1967.5759,1991.8754,0.15883256,0.1437788,0.1437788,0.1437788,0.17465438,0.17603686,0.17096774
ag.lnd.totl.k2,Land area (sq. km),Environment: Land use,Derived,13936,24171,0,1,0,0,,AG.LND.TOTL.K2,12267,56.52995392,58,2018,1961,2017.9767,1961.9209,1989.9489,0.94216585,0.86682028,0.96313363,0.96313363,0.97972351,0.99078339,0.8894009
ag.lnd.totl.ru.k2,Rural land area (sq. km),Environment: Land use,Primary,756,1138,0,0,0,1,,AG.LND.TOTL.RU.K2,537,2.474654378,3,2010,1990,2010,1990,2000,0.041244239,0,0,0,0.082488477,0.082488477,0.082488477
ag.lnd.totl.ur.k2,Urban land area (sq. km),Environment: Land use,Primary,2147,3631,0,0,0,1,,AG.LND.TOTL.UR.K2,537,2.474654378,3,2010,1990,2010,1990,2000,0.041244239,0,0,0,0.082488477,0.082488477,0.082488477
ag.lnd.trac.zs,"Agricultural machinery, tractors per 100 sq. km of arable land",Environment: Agricultural production,Derived,1913,4034,0,1,0,0,,AG.LND.TRAC.ZS,6009,27.69124424,49,2009,1961,1997.5598,1965.8695,1981.7028,0.46152073,0.6437788,0.64884794,0.60046083,0.6105991,0.26543778,0
ag.prd.crel.mt,Cereal production (metric tons),Environment: Agricultural production,Primary,2646,4749,0,0,0,1,,AG.PRD.CREL.MT,9197,42.38248848,57,2017,1961,2016.7858,1967.2528,1992.0193,0.70637482,0.60414743,0.6829493,0.68663597,0.78064519,0.81935483,0.66451615
ag.prd.crop.xd,Crop production index (2004-2006 = 100),Environment: Agricultural production,Primary,3152,6101,0,0,0,1,,AG.PRD.CROP.XD,10210,47.05069124,56,2016,1961,2015.975,1965.915,1990.9495,0.7841782,0.70184332,0.78341013,0.78341013,0.87741935,0.91612905,0.64285713
ag.prd.food.xd,Food production index (2004-2006 = 100),Environment: Agricultural production,Primary,4488,8831,0,0,0,1,,AG.PRD.FOOD.XD,10324,47.57603687,56,2016,1961,2015.9752,1965.8663,1990.9208,0.79293394,0.71105987,0.79262674,0.79262674,0.88663596,0.9253456,0.64930874
ag.prd.lvsk.xd,Livestock production index (2004-2006 = 100),Environment: Agricultural production,Primary,1974,4255,0,0,0,1,,AG.PRD.LVSK.XD,10289,47.41474654,56,2016,1961,2015.9751,1965.786,1990.8806,0.79024577,0.70875573,0.79262674,0.79262674,0.88064516,0.92073733,0.64608294
ag.srf.totl.k2,Surface area (sq. km),Environment: Land use,Derived,5079,9716,0,1,0,0,,AG.SRF.TOTL.K2,12267,56.52995392,58,2018,1961,2017.9767,1961.9209,1989.9489,0.94216585,0.86682028,0.96313363,0.96313363,0.97972351,0.99078339,0.8894009
ag.yld.crel.kg,Cereal yield (kg per hectare),Environment: Agricultural production,Derived,5916,10784,0,1,0,0,,AG.YLD.CREL.KG,9159,42.20737327,57,2017,1961,2016.7791,1967.1216,1991.9457,0.70345622,0.60414743,0.6829493,0.68479264,0.77373272,0.8142857,0.66082948
bg.gsr.nfsv.gd.zs,Trade in services (% of GDP),"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Derived,3951,8532,0,1,0,0,,BG.GSR.NFSV.GD.ZS,6259,28.84331797,59,2018,1960,2016.733,1984.288,2000.533,0.48072198,0.015668202,0.22857143,0.54101384,0.63824886,0.7576037,0.70322579
bm.gsr.cmcp.zs,"Communications, computer, etc. (% of service imports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Derived,590,1022,0,1,0,0,,BM.GSR.CMCP.ZS,6387,29.43317972,59,2018,1960,2016.7357,1983.6581,2000.1396,0.49055299,0.015668202,0.25069124,0.58202767,0.6410138,0.7456221,0.70829493
bm.gsr.fcty.cd,"Primary income payments (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Primary,613,980,0,0,0,1,,BM.GSR.FCTY.CD,6481,29.86635945,59,2018,1960,2016.7783,1983.6804,2000.2125,0.49777266,0.015668202,0.25391707,0.58341014,0.65069127,0.76635945,0.71658987
bm.gsr.gnfs.cd,"Imports of goods and services (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Derived,3376,8633,0,1,0,0,,BM.GSR.GNFS.CD,6492,29.91705069,59,2018,1960,2016.7783,1983.634,2000.1818,0.4986175,0.015668202,0.25714287,0.58433181,0.65161288,0.76635945,0.71658987
bm.gsr.insf.zs,"Insurance and financial services (% of service imports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Derived,727,1805,0,1,0,0,,BM.GSR.INSF.ZS,6173,28.44700461,59,2018,1960,2016.7357,1984.1348,2000.3237,0.47411674,0.011059908,0.24009217,0.56175113,0.59907836,0.73133641,0.70138246
bm.gsr.mrch.cd,"Goods imports (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Primary,1028,2181,0,0,0,1,,BM.GSR.MRCH.CD,6492,29.91705069,59,2018,1960,2016.7783,1983.634,2000.1818,0.4986175,0.015668202,0.25714287,0.58433181,0.65161288,0.76635945,0.71658987
bm.gsr.nfsv.cd,"Service imports (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Primary,1625,3389,0,0,0,1,,BM.GSR.NFSV.CD,6491,29.9124424,59,2018,1960,2016.7783,1983.6392,2000.1843,0.4985407,0.015668202,0.25714287,0.58433181,0.65115207,0.76635945,0.71658987
bm.gsr.royl.cd,"Charges for the use of intellectual property, payments (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Primary,2249,5453,0,0,0,1,,BM.GSR.ROYL.CD,4087,18.83410138,59,2018,1960,2016.6904,1991.1666,2004.1232,0.31390169,0.010138249,0.10737327,0.2313364,0.36175114,0.58986175,0.58294928
bm.gsr.totl.cd,"Imports of goods, services and primary income (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Derived,3165,5663,0,1,0,0,,BM.GSR.TOTL.CD,6479,29.85714286,59,2018,1960,2016.7783,1983.6959,2000.218,0.49761903,0.015668202,0.25391707,0.58341014,0.6497696,0.76635945,0.71658987
bm.gsr.tran.zs,"Transport services (% of service imports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Derived,1159,1777,0,1,0,0,,BM.GSR.TRAN.ZS,6403,29.50691244,59,2018,1960,2016.7357,1983.6011,2000.0964,0.49178186,0.015668202,0.25668204,0.58341014,0.6410138,0.7456221,0.70829493
bm.gsr.trvl.zs,"Travel services (% of service imports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Derived,302,461,0,1,0,0,,BM.GSR.TRVL.ZS,6320,29.12442396,59,2018,1960,2016.8854,1983.8021,2000.3622,0.48540705,0.015668202,0.24930876,0.56036866,0.63317972,0.74516129,0.70875573
bm.klt.dinv.cd.wd,"Foreign direct investment, net outflows (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Primary,9516,21669,0,0,0,1,,BM.KLT.DINV.CD.WD,5782,26.64516129,49,2018,1970,2017.1948,1987.1589,2002.5818,0.44408602,0,0.17834102,0.39585254,0.60645163,0.76635945,0.71751153
bm.klt.dinv.wd.gd.zs,"Foreign direct investment, net outflows (% of GDP)",Economic Policy & Debt: Balance of payments: Capital & financial account,Derived,8366,17243,0,1,0,0,,BM.KLT.DINV.WD.GD.ZS,5520,25.43778802,49,2018,1970,2017.021,1987.8691,2002.7766,0.42396313,0,0.16866359,0.36635944,0.57603687,0.74101382,0.69170505
bm.trf.prvt.cd,"Secondary income, other sectors, payments (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Primary,494,703,0,0,0,1,,BM.TRF.PRVT.CD,5969,27.50691244,59,2018,1960,2016.5699,1984.9119,2000.9015,0.45844853,0.015207374,0.2294931,0.50737327,0.56635946,0.73364055,0.69861752
bm.trf.pwkr.cd.dt,"Personal remittances, paid (current US$)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Primary,1882,3878,0,0,0,1,,BM.TRF.PWKR.CD.DT,5878,27.0875576,49,2018,1970,2016.3129,1985.4257,2001.0433,0.45145929,0,0.20230415,0.47880185,0.58801842,0.74423963,0.69539171
bn.cab.xoka.cd,"Current account balance (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Balances,Primary,20082,50886,0,0,0,1,,BN.CAB.XOKA.CD,6490,29.9078341,59,2018,1960,2016.7783,1983.6392,2000.1864,0.4984639,0.015668202,0.2562212,0.58433181,0.65161288,0.76635945,0.71658987
bn.cab.xoka.gd.zs,Current account balance (% of GDP),Economic Policy & Debt: Balance of payments: Current account: Balances,Derived,19074,48118,0,1,0,0,,BN.CAB.XOKA.GD.ZS,6272,28.90322581,59,2018,1960,2016.733,1984.2618,2000.5035,0.48172042,0.015668202,0.22995391,0.54470044,0.63917053,0.7576037,0.70322579
bn.fin.totl.cd,"Net financial account (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Primary,3021,6851,0,0,0,1,,BN.FIN.TOTL.CD,6476,29.84331797,59,2018,1960,2016.8083,1983.5751,2000.1648,0.49738863,0.016129032,0.25714287,0.58433181,0.65023041,0.76082951,0.7156682
bn.gsr.fcty.cd,"Net primary income (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Primary,1310,2335,0,0,0,1,,BN.GSR.FCTY.CD,6485,29.88479263,59,2018,1960,2016.7783,1983.6598,2000.1992,0.49807987,0.015668202,0.25391707,0.58433181,0.65161288,0.76635945,0.71658987
bn.gsr.gnfs.cd,"Net trade in goods and services (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Balances,Primary,5369,13124,0,0,0,1,,BN.GSR.GNFS.CD,6492,29.91705069,59,2018,1960,2016.7783,1983.634,2000.1818,0.4986175,0.015668202,0.25714287,0.58433181,0.65161288,0.76635945,0.71658987
bn.gsr.mrch.cd,"Net trade in goods (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Balances,Primary,1321,2846,0,0,0,1,,BN.GSR.MRCH.CD,6491,29.9124424,59,2018,1960,2016.7783,1983.6392,2000.1843,0.4985407,0.015668202,0.25668204,0.58433181,0.65161288,0.76635945,0.71658987
bn.kac.eoms.cd,"Net errors and omissions (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Primary,793,1342,0,0,0,1,,BN.KAC.EOMS.CD,6454,29.74193548,59,2018,1960,2016.8083,1983.6011,2000.2095,0.49569893,0.016129032,0.2516129,0.58156681,0.64930874,0.75990784,0.7156682
bn.klt.dinv.cd,"Foreign direct investment, net (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Primary,12683,28308,0,0,0,1,,BN.KLT.DINV.CD,6002,27.65898618,59,2018,1960,2016.8031,1985.4922,2001.3832,0.4609831,0.011059908,0.21198156,0.46359447,0.61013824,0.75576037,0.71336406
bn.klt.ptxl.cd,"Portfolio Investment, net (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Primary,5562,12219,0,0,0,1,,BN.KLT.PTXL.CD,4667,21.50691244,59,2018,1960,2017.1658,1989.6078,2003.9607,0.35844854,0.010138249,0.13364056,0.24470046,0.42718893,0.66313362,0.67188936
bn.res.incl.cd,"Reserves and related items (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Primary,2046,3872,0,0,0,1,,BN.RES.INCL.CD,6438,29.66820276,59,2018,1960,2016.8168,1983.4241,2000.0931,0.49447003,0.016129032,0.25668204,0.58433181,0.6497696,0.75069124,0.70921659
bn.trf.curr.cd,"Net secondary income (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Primary,721,1186,0,0,0,1,,BN.TRF.CURR.CD,6462,29.77880184,59,2018,1960,2016.7783,1983.7319,2000.2441,0.49631336,0.015668202,0.25253457,0.5751152,0.65161288,0.76635945,0.71658987
bn.trf.kogt.cd,"Net capital account (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Primary,3020,6736,0,0,0,1,,BN.TRF.KOGT.CD,3753,17.29493088,59,2018,1960,2016.4517,1995.199,2006.2888,0.28824884,0.005990784,0.023502303,0.087557606,0.34516129,0.62073731,0.6465438
bx.grt.exta.cd.wd,"Grants, excluding technical cooperation (BoP, current US$)",Economic Policy & Debt: Balance of payments: Reserves & other items,Primary,813,1375,0,0,0,1,,BX.GRT.EXTA.CD.WD,8340,38.43317972,58,2017,1960,2014.3743,1968.257,1991.5331,0.640553,0.5364055,0.60599077,0.65345621,0.79078341,0.73732722,0.51935482
bx.grt.tech.cd.wd,"Technical cooperation grants (BoP, current US$)",Economic Policy & Debt: Balance of payments: Reserves & other items,Primary,727,1273,0,0,0,1,,BX.GRT.TECH.CD.WD,8205,37.81105991,58,2017,1960,2014.324,1968.905,1991.8608,0.63018429,0.49953917,0.59861749,0.6465438,0.78525347,0.73410136,0.51705068
bx.gsr.ccis.cd,"ICT service exports (BoP, current US$)",Infrastructure: Communications,Derived,1304,2987,0,1,0,0,,BX.GSR.CCIS.CD,3932,18.11981567,55,2017,1960,2016.5514,1995.3297,2006.0735,0.30199692,0.003225806,0.02672811,0.089861751,0.37235025,0.68709677,0.63271892
bx.gsr.ccis.zs,"ICT service exports (% of service exports, BoP)",Infrastructure: Communications,Derived,1036,2569,0,1,0,0,,BX.GSR.CCIS.ZS,3932,18.11981567,55,2017,1960,2016.5514,1995.3297,2006.0735,0.30199692,0.003225806,0.02672811,0.089861751,0.37235025,0.68709677,0.63271892
bx.gsr.cmcp.zs,"Communications, computer, etc. (% of service exports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Derived,398,676,0,1,0,0,,BX.GSR.CMCP.ZS,6353,29.2764977,59,2018,1960,2016.7306,1983.7772,2000.2488,0.48794162,0.015668202,0.24792627,0.56958526,0.63640553,0.7488479,0.70921659
bx.gsr.fcty.cd,"Primary income receipts (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Primary,238,405,0,0,0,1,,BX.GSR.FCTY.CD,6371,29.359447,59,2018,1960,2016.7732,1984.0206,2000.4338,0.48932412,0.015668202,0.24377881,0.55990785,0.63640553,0.76359445,0.71658987
bx.gsr.gnfs.cd,"Exports of goods and services (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Primary,6726,14859,0,0,0,1,,BX.GSR.GNFS.CD,6492,29.91705069,59,2018,1960,2016.7783,1983.634,2000.1818,0.4986175,0.015668202,0.25714287,0.58433181,0.65161288,0.76635945,0.71658987
bx.gsr.insf.zs,"Insurance and financial services (% of service exports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Derived,1096,1944,0,1,0,0,,BX.GSR.INSF.ZS,5406,24.9124424,59,2018,1960,2016.6364,1986.3475,2001.6046,0.41520739,0.011059908,0.18847926,0.43364054,0.51290321,0.6797235,0.66543776
bx.gsr.mrch.cd,"Goods exports (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Primary,2278,5105,0,0,0,1,,BX.GSR.MRCH.CD,6492,29.91705069,59,2018,1960,2016.7783,1983.634,2000.1818,0.4986175,0.015668202,0.25714287,0.58433181,0.65161288,0.76635945,0.71658987
bx.gsr.nfsv.cd,"Service exports (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Primary,3476,8181,0,0,0,1,,BX.GSR.NFSV.CD,6479,29.85714286,59,2018,1960,2016.7783,1983.6547,2000.2102,0.49761903,0.015668202,0.25529954,0.58064514,0.65115207,0.76635945,0.71658987
bx.gsr.royl.cd,"Charges for the use of intellectual property, receipts (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Primary,1869,4614,0,0,0,1,,BX.GSR.ROYL.CD,3016,13.89861751,57,2018,1962,2015.8462,1995,2005.4508,0.23164363,0.005990784,0.068202764,0.13917051,0.25576037,0.44792628,0.47281104
bx.gsr.totl.cd,"Exports of goods, services and primary income (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Derived,3820,7980,0,1,0,0,,BX.GSR.TOTL.CD,6371,29.359447,59,2018,1960,2016.7732,1984.0206,2000.4338,0.48932412,0.015668202,0.24377881,0.55990785,0.63640553,0.76359445,0.71658987
bx.gsr.tran.zs,"Transport services (% of service exports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Derived,600,1120,0,1,0,0,,BX.GSR.TRAN.ZS,6239,28.75115207,59,2018,1960,2016.7344,1984.1354,2000.3813,0.47918588,0.015668202,0.24377881,0.54976958,0.62857145,0.73732722,0.69999999
bx.gsr.trvl.zs,"Travel services (% of service exports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Derived,247,420,0,1,0,0,,BX.GSR.TRVL.ZS,6296,29.01382488,59,2018,1960,2016.8021,1983.7604,2000.3077,0.48356375,0.015668202,0.2516129,0.55990785,0.62672812,0.74516129,0.70230412
bx.klt.dinv.cd.wd,"Foreign direct investment, net inflows (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Primary,47393,139202,0,0,0,1,,BX.KLT.DINV.CD.WD,7845,36.15207373,49,2018,1970,2017.4237,1979.2168,1998.5118,0.60253459,0,0.46912444,0.640553,0.80967742,0.91105992,0.7847926
bx.klt.dinv.wd.gd.zs,"Foreign direct investment, net inflows (% of GDP)",Economic Policy & Debt: Balance of payments: Capital & financial account,Derived,31687,81510,0,1,0,0,,BX.KLT.DINV.WD.GD.ZS,7315,33.70967742,49,2018,1970,2017.1759,1980.8442,1999.1213,0.56182796,0,0.40138248,0.59539169,0.75391704,0.86958528,0.75069124
bx.klt.drem.cd.dt,Primary income on FDI (current US$),Economic Policy & Debt: Balance of payments: Capital & financial account,Primary,743,1239,0,0,0,1,,BX.KLT.DREM.CD.DT,5949,27.41474654,48,2017,1970,2016.9758,1970,1993.4879,0.45691246,0,0.5714286,0.5714286,0.5714286,0.5714286,0.45576039
bx.pef.totl.cd.wd,"Portfolio equity, net inflows (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Primary,1536,3206,0,0,0,1,,BX.PEF.TOTL.CD.WD,5675,26.15207373,59,2018,1960,2015.3915,1981.7672,1997.8813,0.43586791,0.023041476,0.28617513,0.63041472,0.49262673,0.61013824,0.57281107
bx.trf.curr.cd,"Secondary income receipts (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Primary,187,324,0,0,0,1,,BX.TRF.CURR.CD,6320,29.12442396,59,2018,1960,2016.5361,1984.2113,2000.3486,0.48540705,0.015668202,0.24377881,0.55898619,0.6437788,0.74654377,0.70368665
bx.trf.pwkr.cd,"Personal transfers, receipts (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Primary,795,1339,0,0,0,1,,BX.TRF.PWKR.CD,4209,19.39631336,51,2018,1968,2016.2601,1991.1965,2003.89,0.3232719,0.000921659,0.095852539,0.27327189,0.37834102,0.58894008,0.60230416
bx.trf.pwkr.cd.dt,"Personal remittances, received (current US$)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Primary,7833,19194,0,0,0,1,,BX.TRF.PWKR.CD.DT,6073,27.98617512,49,2018,1970,2017.2487,1985.7253,2001.6755,0.46643624,0,0.20599079,0.45806453,0.60599077,0.76543778,0.76313365
bx.trf.pwkr.dt.gd.zs,"Personal remittances, received (% of GDP)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Derived,9044,20995,0,1,0,0,,BX.TRF.PWKR.DT.GD.ZS,5940,27.37327189,49,2018,1970,2017.2751,1985.8835,2001.7306,0.45622119,0,0.19585253,0.44884792,0.59631336,0.75668204,0.7396313
cm.mkt.indx.zg,S&P Global Equity Indices (annual % change),Financial Sector: Capital markets,Primary,2377,4214,0,0,0,1,,CM.MKT.INDX.ZG,1872,8.626728111,29,2018,1990,2017.7262,1996.238,2007.0193,0.1437788,0,0,0,0.1764977,0.34654379,0.33963132
cm.mkt.lcap.cd,Market capitalization of listed domestic companies (current US$),Financial Sector: Capital markets,Primary,17774,37418,0,0,0,1,,CM.MKT.LCAP.CD,2199,10.13364055,44,2018,1975,2014.4227,1991.9587,2003.1818,0.16889401,0,0.041474655,0.11981567,0.23640554,0.33410138,0.28156683
cm.mkt.lcap.gd.zs,Market capitalization of listed domestic companies (% of GDP),Financial Sector: Capital markets,Derived,9911,25635,0,1,0,0,,CM.MKT.LCAP.GD.ZS,2176,10.02764977,44,2018,1975,2014.2577,1992.0515,2003.1477,0.16712749,0,0.041474655,0.11981567,0.23456222,0.33041474,0.27649769
cm.mkt.ldom.no,"Listed domestic companies, total",Financial Sector: Capital markets,Primary,8803,19029,0,0,0,1,,CM.MKT.LDOM.NO,2604,12,44,2018,1975,2014.7549,1989.4117,2002.1001,0.2,0,0.048387095,0.15299539,0.31843317,0.36589861,0.3142857
cm.mkt.trad.cd,"Stocks traded, total value (current US$)",Financial Sector: Capital markets,Primary,7384,14598,0,0,0,1,,CM.MKT.TRAD.CD,2421,11.15668203,44,2018,1975,2014.12,1990.1899,2002.162,0.18594471,0,0.043317974,0.14331797,0.28986174,0.359447,0.2797235
cm.mkt.trad.gd.zs,"Stocks traded, total value (% of GDP)",Financial Sector: Capital markets,Derived,5125,10380,0,1,0,0,,CM.MKT.TRAD.GD.ZS,2404,11.07834101,44,2018,1975,2013.97,1990.21,2002.1102,0.18463902,0,0.043317974,0.14331797,0.28801844,0.3580645,0.27511519
cm.mkt.trnr,"Stocks traded, turnover ratio of domestic shares (%)",Financial Sector: Capital markets,Derived,2799,6350,0,1,0,0,,CM.MKT.TRNR,2047,9.433179724,44,2018,1975,2013.9263,1992.4,2003.1541,0.15721966,0,0.036866359,0.10967742,0.22488479,0.31981567,0.25207373
